sentence,label
"The Rock ditakdirkan menjadi ""Conan"" baru abad ke-21 dan dia akan membuat percikan lebih hebat daripada Arnold Schwarzenegger, Jean-Claud Van Damme atau Steven Segal.",4
Kesinambungan trilogi `` The Lord of the Rings '' yang sangat terperinci sangat besar sehingga sebaris kata tidak dapat menggambarkan penglihatan bersama penulis / pengarah Peter Jackson mengenai J.R.R.,5
"Penyanyi / komposer Bryan Adams menyumbang banyak lagu - beberapa hits berpotensi, beberapa lebih mengganggu cerita - tetapi keseluruhan paket pasti menangkap semangat yang dimaksudkan.",4
Anda fikir sekarang Amerika akan mempunyai cukup eksentrik Britain yang gemuk dengan hati emas.,3
Namun perbuatan itu masih menawan di sini.,4
"Sama ada atau tidak anda tercerahkan dengan ceramah Derrida mengenai ""yang lain"" dan ""diri"", Derrida adalah rakan yang tidak dapat dinafikan dan suka bermain.",5
Hanya tenaga kerja yang terlibat dalam mencipta kekayaan gambar yang berlapis di chiaroscuro kegilaan dan cahaya ini sangat mengejutkan.,5
Sebahagian daripada daya tarikan Satin Rouge adalah bahawa ia mengelakkan yang jelas dengan humor dan ringan.,4
"lakon layar lebih dibina daripada ""Memento""",5
"""Extreme Ops"" melebihi jangkaan.",4
"Keseronokan yang baik, aksi yang baik, lakonan yang baik, dialog yang baik, langkah yang baik, sinematografi yang baik.",5
Anda Perlu Membayar Sembilan Wang untuk Ini: Kerana anda dapat mendengar tentang penderitaan Afghanistan yang menderita di berita dan masih tidak terpengaruh.,3
Drama seperti ini menjadikannya manusia.,5
"Pada awalnya perjalanan yang deras, keceriaan yang tulen hanya sedikit dan jauh di antara;",3
"Namun, filem ini sangat menyeronokkan, dan menjadi tuan rumah kepada beberapa urutan yang sangat baik.",5
"Pelakon / pengarah Australia John Polson dan juru sinematografi Inggeris, Giles Nuttgens membuat usaha hebat untuk menyamar yang jelas dengan tenaga dan inovasi.",4
Anda keluar dari The Good Girl dengan emosi bercampur - tidak setuju dengan Justine yang digabungkan dengan sedikit pemahaman atas tindakannya.,4
"Post 9/11 pesan filosofis ""Kebebasan Pribadi Pertama"" mungkin tidak enak seperti yang diharapkan.",3
Kajian watak yang menarik oleh André Turpin.,5
"Sekiranya anda gemar membaca dan / atau puisi, maka sila baca.",4
Anda mungkin akan menyukainya.,5
"""Frailty"" telah ditulis dengan baik, bahkan ""Goddammit"" yang sederhana!",4
hampir akhir membawa maksud yang lain.,3
"Grenier hebat, membawa penghantaran cepat tanpa paksa ke dialog Toback's Heidegger - dan Nietzsche.",5
Festival Filem Sundance menjadi begitu terobsesi sehingga peminat dan penerbit turun ke Utah setiap Januari untuk menjayakan The Next Great Thing.,3
"""Tadpole"" adalah salah satu filem yang diumumkan tahun ini, tetapi lebih banyak lagi daripada The Next Pretty Good Thing",3
Pelakonnya hebat.,5
Merekalah yang menjadikannya layak untuk perjalanan ke teater.,4
"(Taymor) menggunakan idea untuk menjadikan seni karya Kahlo sebagai hidup, bernafas dalam filem, sering melambatkan artis ke dalam karya sendiri.",5
Ini bukan idea baru.,2
Ini dilakukan sebelumnya tetapi tidak pernah begitu jelas atau penuh semangat.,5
